DateTimeOpen,Ticker,Side,Size,EntryPrice,StopPrice,TargetPrice,DateTimeClose,ClosePrice,P/L,Result,Confidence,Timeframe,PredictionID,SentimentScore,RSI,MACD,Volume,Volatility,SupportLevel,ResistanceLevel,Indicators,MarketCondition,NewsCount,Notes
2025-11-24T13:47:25.244071,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:47:25.244567,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:48:36.974918,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:48:36.975909,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:48:57.765500,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:48:57.766988,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:49:16.910437,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:49:16.910933,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:49:34.774848,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:49:34.775343,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:50:37.243871,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:50:37.244367,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:50:59.675082,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:50:59.675578,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:52:07.625287,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:52:07.628292,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:52:08.636139,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:52:08.637639,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:52:16.996167,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:52:16.996673,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:53:07.329114,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:53:07.331595,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:54:17.017642,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:54:17.018138,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:55:48.316143,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:55:48.317136,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T13:57:37.181082,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T13:57:37.182074,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T14:17:37.026171,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T14:17:37.027163,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T14:40:22.102058,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T14:40:22.103050,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T14:40:40.982822,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T14:40:40.984309,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T14:40:58.207938,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T14:40:58.208930,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
2025-11-24T14:41:15.047608,AAPL,LONG,10.0,100.0,98.0,105.0,2025-11-24T14:41:15.049097,105.0,$50.00 (5.00%),Win,0.8,1d,,,,,,,,,,,,
